id,model_id,voice_id
27,306,1
28,306,2
29,306,3
30,306,4
31,306,5
32,306,6
33,307,1
34,307,2
35,307,3
36,307,4
37,307,5
38,307,6
58,309,7
59,309,8
60,309,9
61,309,10
62,309,11
63,309,12
64,309,13
65,309,14
66,309,15
67,309,16
68,309,17
69,309,18
70,309,19
71,309,20
72,309,21
73,309,23
74,309,25
75,309,26
76,309,28
322,311,42
221,311,44
323,311,45
230,311,54
232,311,56
248,311,76
245,311,77
324,311,78
246,311,79
325,311,83
326,311,84
327,311,85
515,313,160
512,316,160
310,318,38
311,318,42
312,318,44
313,318,45
320,318,54
321,318,56
314,318,76
315,318,77
316,318,78
317,318,79
309,318,83
318,318,84
319,318,85
292,320,69
293,320,70
294,320,71
297,320,74
333,320,91
384,323,96
389,323,101
427,344,134
413,345,95
386,345,98
391,345,102
392,345,103
390,345,104
483,346,157
484,346,158
485,346,159
400,358,7
412,366,95
404,366,103
401,366,104
402,366,106
416,378,111
414,378,112
415,378,117
417,381,125
418,381,126
420,381,127
419,381,128
524,382,125
525,382,126
526,382,127
523,382,128
517,383,161
516,384,161
425,385,132
426,385,133
432,388,139
433,388,140
442,393,149
443,393,150
445,394,151
444,394,152
446,395,153
448,401,96
475,425,1
476,425,2
477,425,5
478,425,6
528,366,114
540,435,128
541,435,125
542,435,126
543,435,127
544,436,128
545,436,125
546,436,126
547,436,127
554,321,128
555,321,125
556,321,126
557,321,127
558,322,128
559,322,125
560,322,126
561,322,127
562,437,128
563,437,125
564,437,126
565,437,127
566,439,128
567,439,125
568,439,126
569,439,127
570,439,166
571,437,166
572,322,166
573,321,166
574,366,167
575,439,168
577,374,135
578,374,136
579,374,137
580,374,139
581,374,140
582,374,141
583,374,142
608,366,169
609,374,172
610,373,172
611,373,135
612,373,136
613,373,137
614,373,139
615,373,140
616,373,141
617,373,142
618,423,181
619,422,181
620,372,181
621,371,181
622,423,182
623,422,182
624,372,182
625,371,182
626,423,5
627,423,183
628,423,184
629,423,185
630,423,186
631,422,5
632,422,183
633,422,184
634,422,185
635,422,186
636,372,5
637,372,183
638,372,184
639,372,185
640,372,186
641,371,5
642,371,183
643,371,184
644,371,185
645,371,186
646,371,3
647,371,108
648,371,6
649,423,3
650,423,108
651,423,6
652,422,3
653,422,108
654,422,6
655,372,3
656,372,108
657,372,6
658,440,135
659,440,136
660,440,137
661,440,139
662,440,172
663,440,141
664,395,135
665,395,136
666,395,137
667,395,139
668,395,140
669,395,141
670,395,142
671,395,172
672,395,149
673,441,187
674,441,188
675,441,189
676,441,158
677,314,190
678,315,190
680,443,169
681,443,98
682,443,167
683,443,103
684,443,114
685,443,95
