agent_profile_id,name,llm_provider_id,llm_model_id,stt_model_id,stt_provider_id,tts_provider_id,tts_model_id,tts_voice_id,temperature,gender,quality,estimated_cost,description,sort_order,status,latency,greeting_message,voice_speed,voice_temperature,voice_prompt
b02ee0e1-48ec-422e-8ae2-3163e7ca6046,celeste,7,48,376,59,60,383,161,0.3,F,good,10.00,voice,0,inactive,,"",0,0,""
95c0029a-462e-43d7-9212-9879a411c1d7,Jane,16,162,285,33,42,345,103,0.3,F,high,10.00,test,0,inactive,,"",0,0,""
aca43876-9836-419c-9aa5-94e5d1d063bf,Alice,47,,286,33,34,319,160,0.3,F,good,10.00,voice,0,inactive,,"",0,0,""
8bba232b-5f89-464e-810e-3dfd71be854a,Zeus,7,47,285,33,24,311,79,0.3,M,high,10.00,test voice,0,inactive,,"",0,0,""
85a6e66e-5772-4115-ad9f-4b16dac9557e,Katherine,48,112,285,33,42,345,103,0.3,F,high,10.00,test,0,inactive,,"",0,0,""
64871125-ea96-4dba-a2e4-3e84f07f54ef,Athena,7,47,299,22,24,311,45,0.3,F,high,10.00,test voice,0,inactive,,"",0,0,""
49fd35f7-b67b-417b-a382-1018ea2ad56e,Luna,7,47,317,35,24,311,44,0.3,F,high,10.00,test voice,0,inactive,,"",0,0,""
abf2d6ad-9405-46d4-96a0-eaf078407349,anushka,10,120,342,43,20,346,22,0.3,F,good,10.00,test,1,inactive,,"",0,0,""
478a5ae4-6e9d-43e1-a44f-e07793ef5b40,Parvati,7,112,365,55,42,366,109,0.3,F,good,10.00,test,3,inactive,,"",0,0,""
06594a42-e0d1-45b0-bc4e-e64c7fc2160d,Harry,10,132,285,33,37,322,81,0.2,M,good,10.00,test,4,inactive,,"",0,0,""
922f08f9-7685-4ea3-8455-8deaf16a2682,Grace,48,112,,,42,345,102,0.3,F,high,10.00,test,0,inactive,,"",0,0,""
7f37b715-af48-4b7d-a82e-beb782c23e6f,Jessica,16,162,,,42,345,104,0.3,F,high,10.00,test,0,inactive,,"",0,0,""
eed8219c-b79d-4d7c-998d-6af14f8fe4b5,Lucy,7,112,,,42,345,102,0.3,F,high,10.00,test voice,0,inactive,,"",0,0,""
e0367710-62da-4c2c-93a4-8130101f5ae8,nova,7,112,342,43,,324,5,0.3,F,good,10.00,test,2,inactive,,"",0,0,""
c787baa4-2a81-4bf0-9b63-af1a6fba2b2d,Shimmer,16,161,317,35,,306,6,0.3,M,high,10.00,test voice,0,inactive,,"",0,0,""
e1a011dd-6141-4ed7-bb13-355ad3e35f0e,Neha,7,112,285,33,37,322,80,0.3,F,high,10.00,test voice,1,active,,"Hello! Welcome to Unpod, how can I help you today?",0,0,""
efac1c0c-2564-4597-b598-a4615f38f3b0,palak,7,402,285,33,42,378,110,0.3,F,good,10.00,test,0,inactive,,"",0,0,""
791eb7bd-375f-4e26-be26-5ff6eb1d1549,Ansel,7,112,286,33,40,344,134,0.3,M,good,10.00,voice,3,active,,"Hey, i am Ansel from unpod, I’m here to help you with basic health concerns, symptom guidance, and appointment scheduling.",0,0,""
436b8d5e-384b-4789-a99b-1681c025005b,Riya,7,112,285,33,42,366,95,0.3,F,good,10.00,test voice,3,active,,"Hello, welcome to unpod,  कृपया बताइए, आपको किस प्रकार की जानकारी चाहिए?",0,0,""
e98e8857-15a1-406f-addc-d93be0c60c1f,Mia,7,112,285,33,42,345,102,0.3,F,high,10.00,test,0,inactive,,"",0,0,""
fb966303-44e2-413c-ad62-51952a2acb94,Anika,7,110,428,64,42,366,114,0.3,F,good,0.00,marathi voice,0,active,,"नमस्कार, कसे आहात? मी तुम्हाला कशी मदत करू शकतो?",1.5,1.5,""
a0b1d818-6541-469b-84dc-1cf18ed7b79c,Arushi,7,47,286,33,42,366,103,0.3,F,good,10.00,voice,2,active,,नमस्ते! Unpod में आपका हार्दिक स्वागत है। मैं आपकी यात्रा को आसान और आरामदायक बनाने के लिए आपकी सहायता करूँगी।,0,0,""
84b1efac-67da-457c-a4a2-43f4ba68ac7b,Manisha,7,112,428,64,20,346,157,0.3,F,good,10.00,voice,3,active,,नमस्कार!! Unpod में आपका हार्दिक स्वागत है। मैं आपकी  कस्टमर सपोर्ट असिस्टेंट हूँ।मैं आपकी किस प्रकार सहायता कर सकती हूँ?,0,0,""
e2531acb-ad1e-4408-94ca-77dd3279d208,Ashley,7,328,285,33,61,381,125,0.3,F,good,0.00,test,0,inactive,,"Hello! Welcome to Unpod. बताइये, आप किस विषय पर पढ़ना चाहेंगे?  मैं आपको स्टेप बाई स्टेप, समझाऊंगी।",0,0,""
