id,voiceprofiles_id,language_id
7,06594a42-e0d1-45b0-bc4e-e64c7fc2160d,1
8,06594a42-e0d1-45b0-bc4e-e64c7fc2160d,2
23,06594a42-e0d1-45b0-bc4e-e64c7fc2160d,3
24,06594a42-e0d1-45b0-bc4e-e64c7fc2160d,4
25,06594a42-e0d1-45b0-bc4e-e64c7fc2160d,5
26,06594a42-e0d1-45b0-bc4e-e64c7fc2160d,6
27,06594a42-e0d1-45b0-bc4e-e64c7fc2160d,7
35,436b8d5e-384b-4789-a99b-1681c025005b,1
36,436b8d5e-384b-4789-a99b-1681c025005b,2
37,436b8d5e-384b-4789-a99b-1681c025005b,3
38,436b8d5e-384b-4789-a99b-1681c025005b,4
39,436b8d5e-384b-4789-a99b-1681c025005b,5
40,436b8d5e-384b-4789-a99b-1681c025005b,6
41,436b8d5e-384b-4789-a99b-1681c025005b,7
42,436b8d5e-384b-4789-a99b-1681c025005b,8
43,436b8d5e-384b-4789-a99b-1681c025005b,9
5,478a5ae4-6e9d-43e1-a44f-e07793ef5b40,1
6,478a5ae4-6e9d-43e1-a44f-e07793ef5b40,2
16,478a5ae4-6e9d-43e1-a44f-e07793ef5b40,3
17,478a5ae4-6e9d-43e1-a44f-e07793ef5b40,4
18,478a5ae4-6e9d-43e1-a44f-e07793ef5b40,5
19,478a5ae4-6e9d-43e1-a44f-e07793ef5b40,6
20,478a5ae4-6e9d-43e1-a44f-e07793ef5b40,7
21,478a5ae4-6e9d-43e1-a44f-e07793ef5b40,8
22,478a5ae4-6e9d-43e1-a44f-e07793ef5b40,9
54,791eb7bd-375f-4e26-be26-5ff6eb1d1549,1
56,84b1efac-67da-457c-a4a2-43f4ba68ac7b,1
57,84b1efac-67da-457c-a4a2-43f4ba68ac7b,2
44,a0b1d818-6541-469b-84dc-1cf18ed7b79c,1
45,a0b1d818-6541-469b-84dc-1cf18ed7b79c,2
46,a0b1d818-6541-469b-84dc-1cf18ed7b79c,3
47,a0b1d818-6541-469b-84dc-1cf18ed7b79c,4
48,a0b1d818-6541-469b-84dc-1cf18ed7b79c,5
49,a0b1d818-6541-469b-84dc-1cf18ed7b79c,6
50,a0b1d818-6541-469b-84dc-1cf18ed7b79c,7
51,a0b1d818-6541-469b-84dc-1cf18ed7b79c,8
52,a0b1d818-6541-469b-84dc-1cf18ed7b79c,9
3,abf2d6ad-9405-46d4-96a0-eaf078407349,1
4,abf2d6ad-9405-46d4-96a0-eaf078407349,2
58,aca43876-9836-419c-9aa5-94e5d1d063bf,1
59,aca43876-9836-419c-9aa5-94e5d1d063bf,2
53,b02ee0e1-48ec-422e-8ae2-3163e7ca6046,1
28,e1a011dd-6141-4ed7-bb13-355ad3e35f0e,1
29,e1a011dd-6141-4ed7-bb13-355ad3e35f0e,2
30,e1a011dd-6141-4ed7-bb13-355ad3e35f0e,3
31,e1a011dd-6141-4ed7-bb13-355ad3e35f0e,4
32,e1a011dd-6141-4ed7-bb13-355ad3e35f0e,5
33,e1a011dd-6141-4ed7-bb13-355ad3e35f0e,6
34,e1a011dd-6141-4ed7-bb13-355ad3e35f0e,7
60,e2531acb-ad1e-4408-94ca-77dd3279d208,1
61,e2531acb-ad1e-4408-94ca-77dd3279d208,2
1,efac1c0c-2564-4597-b598-a4615f38f3b0,1
2,efac1c0c-2564-4597-b598-a4615f38f3b0,2
9,efac1c0c-2564-4597-b598-a4615f38f3b0,3
10,efac1c0c-2564-4597-b598-a4615f38f3b0,4
11,efac1c0c-2564-4597-b598-a4615f38f3b0,5
12,efac1c0c-2564-4597-b598-a4615f38f3b0,6
13,efac1c0c-2564-4597-b598-a4615f38f3b0,7
14,efac1c0c-2564-4597-b598-a4615f38f3b0,8
15,efac1c0c-2564-4597-b598-a4615f38f3b0,9
64,fb966303-44e2-413c-ad62-51952a2acb94,9
