id,title,placeholder,description,type,name,default,required,regex,options_type,options,config,sort_order,status,created_at,updated_at,created_by_id,form_id,options_api_id
8,Name,,"",text,name,,t,,,,,0,active,2025-08-28 11:53:35.744559+00,2025-08-28 12:37:57.726641+00,,2,
9,API key,,"",password,api_key,,f,,,,,1,active,2025-08-28 11:54:54.481477+00,2025-09-15 05:56:19.8948+00,,2,
10,API Secret,,"",password,api_secret,,f,,,,,2,active,2025-08-28 11:55:36.765653+00,2025-09-15 05:56:19.911611+00,,2,
11,Base URL,,"",url,base_url,,f,"/^(wss?:\/\/)?([a-zA-Z0-9-]+\.)+[a-zA-Z]{2,}(:\d+)?(\/[^\s]*)?$/",,,,3,active,2025-08-28 11:59:54.5007+00,2025-09-15 05:56:19.922725+00,,2,
12,Meta Fields,,"",json,meta_json,,f,,,,,5,active,2025-08-28 12:01:13.845238+00,2025-08-29 11:08:38.350555+00,,2,
29,Name,,"",text,name,,t,,,"""""",,0,active,2025-08-28 12:42:34.353897+00,2025-08-28 12:42:51.100322+00,,3,
30,API key,,"",password,api_key,,f,,,"""""",,1,active,2025-08-28 12:42:34.362695+00,2025-09-15 05:56:09.377122+00,,3,
31,API Secret,,"",password,api_secret,,f,,,"""""",,2,inactive,2025-08-28 12:42:34.371159+00,2025-09-15 05:56:09.399304+00,,3,
32,Meta Fields,,"",json,meta_json,,f,,,"""""",,3,active,2025-08-28 12:42:34.385923+00,2025-08-28 12:42:59.017766+00,,3,
38,Name,,"",text,name,,t,,,"""""",,0,active,2025-08-28 12:45:11.19192+00,2025-08-28 12:46:03.344695+00,,4,
39,API key,,"",password,api_key,,t,,,"""""",,1,active,2025-08-28 12:45:11.198148+00,2025-08-29 11:05:18.717717+00,,4,
40,API Secret,,"",password,api_secret,,t,,,"""""",,2,active,2025-08-28 12:45:11.204117+00,2025-08-29 11:05:28.180791+00,,4,
42,Meta Fields,,"",json,meta_json,,f,,,"""""",,3,active,2025-08-28 12:45:11.216251+00,2025-08-28 12:51:17.853001+00,,4,
48,Name,,"",text,name,"",t,"",,"""""",,0,active,2025-08-28 12:46:14.356812+00,2025-08-28 12:46:14.356871+00,,5,
49,API key,,"",password,api_key,,t,,,"""""",,1,active,2025-08-28 12:46:14.365021+00,2025-08-29 11:05:39.87575+00,,5,
50,API Secret,,"",password,api_secret,,t,,,"""""",,2,active,2025-08-28 12:46:14.372276+00,2025-08-29 11:05:48.932563+00,,5,
52,Meta Fields,,"",json,meta_json,,f,,,"""""",,3,active,2025-08-28 12:46:14.388602+00,2025-08-28 12:51:07.733025+00,,5,
53,SIP Url,,"",text,sip_url,,t,,,,,4,active,2025-08-29 11:08:16.410378+00,2025-09-17 10:13:04.464397+00,,2,
54,Name,,"",text,name,,t,,,,,0,active,2025-09-02 05:19:45.944039+00,2025-09-02 05:19:45.944093+00,,6,
55,API key,,"",password,api_key,,t,,,,,2,active,2025-09-02 05:20:14.17727+00,2025-09-02 05:21:56.878208+00,,6,
56,API Secret,,"",password,api_secret,,t,,,,,3,active,2025-09-02 05:20:47.42929+00,2025-09-02 05:21:56.868538+00,,6,
57,Base URL,,"",text,base_url,,t,"/^(wss?:\/\/)?([a-zA-Z0-9-]+\.)+[a-zA-Z]{2,}(:\d+)?(\/[^\s]*)?$/",,,,1,active,2025-09-02 05:21:30.765686+00,2025-09-02 05:21:56.858223+00,,6,
58,Meta Fields,,"",json,meta_json,,f,,,,,4,active,2025-09-02 05:23:08.382133+00,2025-09-02 05:23:08.382199+00,,6,
59,Requirement,,"",select,requirement,,t,,static,"{""Other"": ""Other"", ""AI Agent"": ""AI Agent"", ""SIP Trunking"": ""SIP Trunking"", ""Indian Numbers"": ""Indian Numbers""}",,5,active,2025-09-02 08:04:12.094964+00,2025-09-02 11:35:28.037702+00,,6,
60,Other Requirement,,"",text,other_requirement,,t,,,,,6,active,2025-09-02 08:09:44.999793+00,2025-09-02 11:35:28.036362+00,,6,
61,Provider,,"",select,provider,,t,,api,,,7,active,2025-09-02 09:19:39.841631+00,2025-09-02 13:08:02.796374+00,,6,1
